EXTERNAL_PERSON_KEY|USER_ID|AVAILABLE_IND|DATA_SOURCE_KEY|NEW_DATA_SOURCE_KEY
ttt_anonymous_a01|ttt_anonymous_a01|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_a02|ttt_anonymous_a02|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_a03|ttt_anonymous_a03|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_a04|ttt_anonymous_a04|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_a05|ttt_anonymous_a05|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_a06|ttt_anonymous_a06|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_a07|ttt_anonymous_a07|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_a08|ttt_anonymous_a08|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_a09|ttt_anonymous_a09|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_a10|ttt_anonymous_a10|N|university_ADFS|university_ADFS_deleted
bbstaff003|bbstaff003|N|university_ADFS|university_ADFS_deleted
bbstaff007|bbstaff007|N|university_ADFS|university_ADFS_deleted
bbstaff008|bbstaff008|N|university_ADFS|university_ADFS_deleted
bbstaff010|bbstaff010|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_022|ttt_anonymous_022|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_023|ttt_anonymous_023|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_024|ttt_anonymous_024|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_025|ttt_anonymous_025|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_026|ttt_anonymous_026|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_027|ttt_anonymous_027|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_028|ttt_anonymous_028|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_029|ttt_anonymous_029|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_030|ttt_anonymous_030|N|university_ADFS|university_ADFS_deleted
anyuser2|anyuser2|N|university_ADFS|university_ADFS_deleted
snuser2|snuser2|N|university_ADFS|university_ADFS_deleted
anyuser1|anyuser1|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_001|ttt_anonymous_001|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_002|ttt_anonymous_002|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_003|ttt_anonymous_003|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_004|ttt_anonymous_004|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_005|ttt_anonymous_005|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_006|ttt_anonymous_006|N|university_ADFS|university_ADFS_deleted
bbstaff009|bbstaff009|N|university_ADFS|university_ADFS_deleted
14000005d|14000005d|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_007|ttt_anonymous_007|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_008|ttt_anonymous_008|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_009|ttt_anonymous_009|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_010|ttt_anonymous_010|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_011|ttt_anonymous_011|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_012|ttt_anonymous_012|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_013|ttt_anonymous_013|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_014|ttt_anonymous_014|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_015|ttt_anonymous_015|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_016|ttt_anonymous_016|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_017|ttt_anonymous_017|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_018|ttt_anonymous_018|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_019|ttt_anonymous_019|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_020|ttt_anonymous_020|N|university_ADFS|university_ADFS_deleted
ttt_anonymous_021|ttt_anonymous_021|N|university_ADFS|university_ADFS_deleted
